batch=417801 checked=14019092021248 peak_steps=334 suspects=0 gpu=14% temp=71C elapsed=0.0
batch=417851 checked=14019930882048 peak_steps=424 suspects=0 gpu=81% temp=74C elapsed=0.3
batch=417901 checked=14020769742848 peak_steps=451 suspects=0 gpu=67% temp=74C elapsed=0.6
batch=417951 checked=14021608603648 peak_steps=451 suspects=0 gpu=76% temp=74C elapsed=0.9
batch=418001 checked=14022447464448 peak_steps=451 suspects=0 gpu=77% temp=77C elapsed=1.2
batch=418051 checked=14023286325248 peak_steps=460 suspects=0 gpu=69% temp=78C elapsed=1.5
batch=418101 checked=14024125186048 peak_steps=460 suspects=0 gpu=72% temp=78C elapsed=1.8
batch=418151 checked=14024964046848 peak_steps=478 suspects=0 gpu=73% temp=78C elapsed=2.1
batch=418201 checked=14025802907648 peak_steps=478 suspects=0 gpu=73% temp=79C elapsed=2.4
batch=418251 checked=14026641768448 peak_steps=478 suspects=0 gpu=68% temp=79C elapsed=2.7
batch=418301 checked=14027480629248 peak_steps=478 suspects=0 gpu=70% temp=79C elapsed=3.0
batch=418351 checked=14028319490048 peak_steps=478 suspects=0 gpu=76% temp=79C elapsed=3.3
batch=418401 checked=14029158350848 peak_steps=478 suspects=0 gpu=70% temp=80C elapsed=3.6
batch=418451 checked=14029997211648 peak_steps=478 suspects=0 gpu=72% temp=80C elapsed=3.9
batch=418501 checked=14030836072448 peak_steps=478 suspects=0 gpu=69% temp=80C elapsed=4.2
batch=418551 checked=14031674933248 peak_steps=478 suspects=0 gpu=74% temp=80C elapsed=4.6
batch=418601 checked=14032513794048 peak_steps=478 suspects=0 gpu=71% temp=80C elapsed=4.9
batch=418651 checked=14033352654848 peak_steps=478 suspects=0 gpu=75% temp=80C elapsed=5.2
batch=418701 checked=14034191515648 peak_steps=478 suspects=0 gpu=75% temp=80C elapsed=5.5
batch=418751 checked=14035030376448 peak_steps=478 suspects=0 gpu=67% temp=81C elapsed=5.8
batch=418801 checked=14035869237248 peak_steps=478 suspects=0 gpu=73% temp=81C elapsed=6.1
batch=418851 checked=14036708098048 peak_steps=523 suspects=0 gpu=75% temp=81C elapsed=6.4
batch=418901 checked=14037546958848 peak_steps=523 suspects=0 gpu=73% temp=81C elapsed=6.7
batch=418951 checked=14038385819648 peak_steps=541 suspects=0 gpu=72% temp=82C elapsed=7.0
batch=419001 checked=14039224680448 peak_steps=541 suspects=0 gpu=73% temp=82C elapsed=7.3
batch=419051 checked=14040063541248 peak_steps=541 suspects=0 gpu=58% temp=81C elapsed=7.6
batch=419101 checked=14040902402048 peak_steps=541 suspects=0 gpu=68% temp=82C elapsed=7.9
batch=419151 checked=14041741262848 peak_steps=541 suspects=0 gpu=70% temp=82C elapsed=8.2
batch=419201 checked=14042580123648 peak_steps=541 suspects=0 gpu=71% temp=82C elapsed=8.6
batch=419251 checked=14043418984448 peak_steps=541 suspects=0 gpu=75% temp=82C elapsed=8.9
batch=419301 checked=14044257845248 peak_steps=541 suspects=0 gpu=63% temp=82C elapsed=9.2
